instance,method,family,distance,vehicles,ontime_p50,ontime_p95,ontime_mean,feasible
RC201,Gamma1,RC,1992.304,9,25.0,25.0,25.0,True
RC201,Gamma2,RC,1916.99,9,25.0,25.0,25.0,True
RC202,DET,RC,1291.0,9,99.05,99.58,97.49,True
RC202,Q120,RC,,0,,,,
RC202,Q1405,RC,,0,,,,
RC202,SAA16-b0p3,RC,1341.0,9,38.0,42.0,40.0,True
RC202,SAA32-b0p5,RC,1441.0,9,38.0,42.0,40.0,True
RC202,SAA64-b0p7,RC,1395.0,9,38.0,42.0,40.0,True
RC202,Gamma1,RC,1778.753,9,43.0,44.0,43.5,True
RC202,Gamma2,RC,1739.73,9,43.0,44.0,43.5,True
RC203,DET,RC,1123.0,9,99.05,99.58,97.49,True
RC203,Q120,RC,,0,,,,
RC203,Q1405,RC,,0,,,,
RC203,SAA16-b0p3,RC,1184.0,9,60.0,64.0,62.0,True
RC203,SAA32-b0p5,RC,1311.0,9,60.0,64.0,62.0,True
RC203,SAA64-b0p7,RC,1294.0,9,60.0,64.0,62.0,True
RC203,Gamma1,RC,1514.392,9,48.0,52.0,50.0,True
RC203,Gamma2,RC,1642.05,9,48.0,52.0,50.0,True
RC204,DET,RC,1043.0,9,99.05,99.58,97.49,True
RC204,Q120,RC,,0,,,,
RC204,Q1405,RC,,0,,,,
RC204,SAA16-b0p3,RC,1127.0,9,77.0,81.0,79.0,True
RC204,SAA32-b0p5,RC,1212.0,9,77.0,81.0,79.0,True
RC204,SAA64-b0p7,RC,1207.0,9,77.0,81.0,79.0,True
RC204,Gamma1,RC,1402.809,9,83.0,88.0,85.5,True
RC204,Gamma2,RC,1430.59,9,83.0,88.0,85.5,True
RC205,DET,RC,1283.0,9,99.05,99.58,97.49,True
RC205,Q120,RC,,0,,,,
RC205,Q1405,RC,,0,,,,
RC205,SAA16-b0p3,RC,1463.0,9,32.0,34.0,33.0,True
RC205,SAA32-b0p5,RC,1495.0,9,32.0,34.0,33.0,True
RC205,SAA64-b0p7,RC,1495.0,9,32.0,34.0,33.0,True
RC205,Gamma1,RC,1768.967,9,31.0,32.0,31.5,True
RC205,Gamma2,RC,1852.01,9,31.0,32.0,31.5,True
RC206,DET,RC,1240.0,9,99.05,99.58,97.49,True
RC206,Q120,RC,,0,,,,
RC206,Q1405,RC,,0,,,,
RC206,SAA16-b0p3,RC,1279.0,9,34.0,37.0,35.5,True
RC206,SAA32-b0p5,RC,1338.0,9,34.0,37.0,35.5,True
RC206,SAA64-b0p7,RC,1427.0,9,34.0,37.0,35.5,True
RC206,Gamma1,RC,1727.978,9,40.0,43.0,41.5,True
RC206,Gamma2,RC,1737.94,9,40.0,43.0,41.5,True
RC207,DET,RC,1161.0,9,99.05,99.58,97.49,True
RC207,Q120,RC,,0,,,,
RC207,Q1405,RC,,0,,,,
RC207,SAA16-b0p3,RC,1220.0,9,50.0,53.0,51.5,True
RC207,SAA32-b0p5,RC,1378.0,9,50.0,53.0,51.5,True
RC207,SAA64-b0p7,RC,1337.0,9,50.0,53.0,51.5,True
RC207,Gamma1,RC,1547.528,9,50.0,54.0,52.0,True
RC207,Gamma2,RC,1609.78,9,50.0,54.0,52.0,True
RC208,DET,RC,1018.0,9,99.05,99.58,97.49,True
RC208,Q120,RC,,0,,,,
RC208,Q1405,RC,,0,,,,
RC208,SAA16-b0p3,RC,1080.0,9,76.0,81.0,78.5,True
RC208,SAA32-b0p5,RC,1138.0,9,76.0,81.0,78.5,True
RC208,SAA64-b0p7,RC,1145.0,9,76.0,81.0,78.5,True
RC208,Gamma1,RC,1444.052,9,77.0,80.05,78.525,True
RC208,Gamma2,RC,1433.65,9,77.0,80.05,78.525,True
